Study Hours per Week,Attendance Rate,Previous Grades,Participation in Extracurricular Activities,Parent Education Level,Passed
-20.907732639963285,66.10573737821883,73.07138323602676,Yes,Bachelor,Yes
16.370946249519765,71.81435123773792,81.48817419220921,No,High School,Yes
14.074813740894076,69.51823204130815,45.761698188842914,Yes,High School,No
12.59117043528569,83.04709744067443,74.49471531756022,Yes,High School,Yes
3.171824077060581,63.55160135235599,83.98652306432001,Yes,High School,No
9.24124633284233,132.42061334648943,63.773495665549454,No,High School,No
11.3148898323217,80.00414129836395,80.51050918180876,No,Bachelor,Yes
23.456977809751326,79.8139935772277,100.0,No,Bachelor,Yes
17.74894631654769,73.44210566974164,68.43485810519662,No,Master,Yes
0.8956787570981284,83.10381367717959,75.89960575007986,No,High School,No
-17.59267175515836,96.5019652933527,58.92914374507913,No,Bachelor,Yes
11.919341756669468,62.65739568578199,72.71876743903076,No,Master,No
9.584623997552331,66.83767021849486,76.90407437473456,Yes,Bachelor,No
19.893410310726942,73.9254794244667,72.92263510405208,No,High School,Yes
23.247996179967608,53.082581530535705,54.70457020436715,No,High School,No
22.45024095292959,63.61484280557005,73.09542656988177,No,High School,Yes
8.28625981421889,70.47558252910682,91.93293908076456,Yes,High School,No
12.526300993190283,97.48778361425455,76.7295364677179,Yes,Bachelor,Yes
17.65010745122851,85.2512265800385,84.42980783607761,No,High School,Yes
22.804361016978874,83.8717982273509,66.44482044981058,No,High School,Yes
-11.16660609723768,127.01795924335944,81.24850359135566,No,Bachelor,Yes
13.514728186689464,77.25256423201206,74.1890175732479,Yes,Bachelor,No
6.149320207951774,87.80929699857779,55.73633905469152,No,High School,No
5.430347007354634,77.93556494135008,74.77781507198311,No,Bachelor,No
21.500206579153584,85.30724698799257,55.12455004839534,No,High School,Yes
25.84992022856658,68.34482684776836,60.50679587672812,No,High School,Yes
14.423919027357329,31.22365683447142,72.8399246093856,No,High School,No
23.028263183136193,77.31441675627391,74.45866410070187,No,Bachelor,Yes
17.893088200381072,108.45496272199881,52.161513023843064,No,Master,Yes
9.839041963159005,98.52430804483186,85.80978656774315,No,High School,Yes
-17.891164844067312,99.30794969182341,78.5800941745071,Yes,Bachelor,Yes
27.304292531727754,104.72261443612436,59.429073465836744,Yes,High School,Yes
14.713391687120387,81.77315181922874,46.93622805326237,No,Bachelor,No
27.517149246512048,83.94631414811191,67.82643131377853,No,High School,Yes
-5.957960832717955,67.646962091313,63.3108442920826,No,High School,No
21.57522003500179,103.678542879459,71.69710685579534,No,Master,Yes
15.69637654590537,92.31542299542284,64.55325008266651,Yes,Bachelor,Yes
12.60794119627306,104.07768874337633,39.88814708882485,No,High School,No
15.73408621228402,77.21107448638001,64.17479592548263,No,High School,No
-0.9005513168071424,70.99621470297177,65.4157133339753,Yes,High School,No
-13.242624897299905,80.01055917713195,79.50491537161088,Yes,High School,Yes
17.85690057209397,92.0241349785823,59.527004880834255,No,Master,Yes
26.82315235793213,51.12290367732916,95.1801201005885,Yes,Master,Yes
10.853838253810821,34.07638093725524,41.325391740223644,No,High School,No
8.532051176854498,68.98926301016833,89.66751246703936,Yes,High School,No
10.985943651323709,55.58575148171683,,No,Master,No
22.323216941616593,69.83719604705378,82.89377308515334,No,High School,Yes
17.630008877277476,77.04439362365056,71.197022260881,No,Bachelor,Yes
10.76191836986369,70.93503181953973,87.09333304038203,No,High School,No
19.10613946490685,109.04935068941491,64.18957053170783,No,Bachelor,Yes
-15.776620394784324,116.5348952920464,53.520693622332814,Yes,Bachelor,No
22.749159924263115,86.00948719221657,91.30756430906595,Yes,Master,Yes
9.383575248981181,92.44414288086804,68.29779031176788,No,Bachelor,No
12.378702827217854,57.223337644384614,73.32337710436316,No,High School,No
11.86313477494274,100.78223574840537,,No,Bachelor,Yes
3.2918804149430514,78.4847142692908,54.52067136858348,Yes,Master,No
17.368962216516607,93.40961234482425,78.93236346458886,Yes,High School,Yes
17.088442177439113,58.56285533919689,61.15157865305664,Yes,High School,No
15.040907653139687,48.924824679678714,68.01745966533443,No,High School,No
13.123302932998826,96.35779316050058,71.08418448076434,No,High School,Yes
-3.677034063596686,87.52819052195034,47.49667207829596,No,High School,No
11.634837417877128,61.95896891284979,58.317444357693475,No,Bachelor,No
12.258283867785844,62.60673837450611,90.26609338619708,Yes,High School,No
8.581781846227049,102.50869568829539,83.29286782877193,Yes,Master,Yes
13.709714306671927,56.21176214265344,69.06040634009148,Yes,High School,No
18.232406854516306,142.85345906511927,73.6468518776934,No,High School,Yes
30.089487209684243,61.98758530704262,65.58636241545314,Yes,High School,Yes
16.39662250265471,92.76783851216766,90.34875078741973,No,High School,Yes
17.060403125782116,73.4276304850203,66.99471133308754,Yes,High School,No
14.404432673870662,92.06374862164687,73.47763138202272,No,High School,Yes
-0.3501697223923319,69.11771995771615,87.19045216213098,No,High School,No
14.787888996406265,76.74414187855412,58.3394277273114,No,Bachelor,No
15.48184167952821,80.81838350791442,93.3818377674534,No,Bachelor,Yes
34.70593689988229,59.95625088437055,47.04307885384935,No,High School,Yes
13.46111228175102,94.81648690840251,94.44463196669199,Yes,Bachelor,Yes
17.4123787386689,69.73572867056829,64.40986624072038,No,Bachelor,No
14.722305842358054,75.42800169319963,66.35951878262077,No,High School,No
5.650575699043744,60.11301250782975,,Yes,Master,No
24.142582516120164,28.75332682409379,63.17807923933461,Yes,Master,No
21.015464261494195,76.17944474799663,54.402902034596735,No,High School,No
-21.328255576344375,158.2523084322583,60.88530481939791,No,High School,Yes
7.724900361642089,95.69208575796048,67.9403355131668,No,High School,No
26.222354487488793,79.6147924053121,84.36687421709358,No,High School,Yes
3.785191497661753,74.74218341583465,73.11405027100939,Yes,Bachelor,No
19.694856750402163,80.44931785624092,74.61514980101671,Yes,High School,Yes
32.523645006479825,90.9423823035042,53.56720916731656,No,Bachelor,Yes
7.075709398954493,56.38374369382311,56.78868865595905,Yes,Bachelor,No
10.469618163177824,102.28643389337745,96.98087527526968,No,Bachelor,Yes
15.79721092070113,94.30762630882488,58.9719844785513,No,Bachelor,Yes
10.972194767070405,94.36371451415869,94.84312378085943,Yes,High School,Yes
-2.5946925514709385,88.76951477619454,66.354082016787,No,High School,No
15.548503798448218,80.3923331538798,70.03431904215256,Yes,Bachelor,Yes
6.501570290191161,93.4572247193364,86.05547740344895,No,High School,Yes
18.788739445081454,91.83628267482756,89.07838632907985,Yes,High School,Yes
7.644606126129575,72.91918578117952,68.33781159581369,No,Master,No
27.399475240140315,98.52796454206198,,Yes,Bachelor,Yes
8.733973661310102,82.03712590523973,69.1611932721668,No,High School,No
12.423507870354594,110.98040302990375,75.06936292348178,No,Bachelor,Yes
21.50813773895736,55.21785848692198,83.36955530304633,Yes,Bachelor,Yes
5.153085468528358,50.6494946849512,70.06344788491228,No,High School,No
-16.819679476833034,83.29521682473033,79.2832944703473,Yes,High School,Yes
25.457142034259427,81.01775403712035,94.57539598406412,No,Master,Yes
2.1401341235101796,83.46683328740816,75.71964418397177,Yes,High School,No
16.477070868258433,84.87906395817001,74.67479284007167,No,High School,Yes
17.07906235398739,75.5359549073039,47.21633762364898,Yes,High School,No
21.254582974218483,109.79726877204165,30.53904794756405,No,Bachelor,Yes
5.104394312975344,47.981920430469685,75.82563593845252,Yes,High School,No
4.4363470953257895,63.430059504395075,68.57763653078692,No,High School,No
19.175532524935182,77.93490479701906,62.278259876278874,Yes,High School,Yes
17.37587738586549,47.13622377691665,73.65295306279516,No,Master,No
-17.003942802767014,106.48291191135857,69.09394406204638,No,High School,Yes
17.771585675975807,113.22940331456036,86.91670375950848,Yes,Bachelor,Yes
9.559802227372074,80.41772976591923,71.29166302388467,No,Master,No
16.85802957728803,84.61401811437366,58.796150723947484,Yes,High School,Yes
17.34457978638945,54.796704696548396,84.85249358438934,Yes,Master,No
9.285188655789057,67.67277183921045,66.74303387580696,No,Master,No
29.926196089158054,72.49607239352126,77.89805025508461,No,Master,Yes
18.7906633672943,73.64569806487532,62.83883940710799,No,High School,No
5.469572022378811,105.63287590007538,60.25259671753845,Yes,Bachelor,No
20.252428869070638,91.15382121450249,71.26252345278544,Yes,Bachelor,Yes
-7.2025466381814285,57.77084086125936,70.19242965315527,Yes,Master,No
21.296676829939617,84.9300955686401,77.1974055305025,No,High School,Yes
24.26876463205923,89.9644349699357,65.97031370035386,No,Bachelor,Yes
8.434541453186316,102.80298077042534,42.45460324344404,No,High School,No
22.707009033954574,111.61081373136747,63.50839174617417,Yes,High School,Yes
18.302247415491987,89.69811616344262,81.90727700715723,Yes,High School,Yes
21.57648127995592,63.78284977579324,65.53935881135341,Yes,Bachelor,Yes
30.174343861231577,54.84844282170768,66.30424896228178,Yes,High School,Yes
13.036895071977035,75.31960281786037,84.79564758858905,Yes,Bachelor,Yes
8.970110685140083,89.32716748892669,59.32040159111616,No,Master,No
-7.883884562995814,99.74669033178203,46.857951726356504,No,High School,No
8.473517720276494,78.48097952714954,67.59053320711759,No,Bachelor,No
14.383186324687166,73.60304953490312,62.737390731268945,No,High School,No
17.72921579853315,83.03515984497481,55.50630520370119,Yes,High School,No
17.21352639464015,63.29714196739954,67.36932316151965,No,Bachelor,No
21.61746599228819,121.79077443389546,77.37258470870175,Yes,Master,Yes
15.104015135023257,47.846779457638824,69.86067157648276,No,Bachelor,No
26.628272617258535,83.69481157791449,74.60471609029356,No,Bachelor,Yes
12.882745334096352,120.47212438459279,97.20111547773135,Yes,High School,Yes
36.76135333271695,80.13599689119995,64.85681707663653,No,High School,Yes
-20.00533878212005,106.19921929997011,74.17522951967004,Yes,Bachelor,Yes
8.14273954866974,72.85109154379145,62.36179956101298,No,High School,No
6.4328600155111015,76.39216636475184,57.304604201695405,No,High School,No
18.85977932194548,107.45696949353061,61.22638519873345,Yes,Bachelor,Yes
13.212297717393193,35.76276177340986,62.81862142717467,No,High School,No
20.712003952736737,110.6686740259265,75.39213696320688,No,High School,Yes
18.78590099658836,51.5208569509971,100.0,No,Bachelor,Yes
14.417368698745017,74.66695341531171,59.259348455862394,Yes,Bachelor,No
8.22565025545276,71.41511159402677,63.75062041576806,No,Master,No
2.881222202513083,91.7710653954144,69.05315480333128,Yes,Bachelor,No
-11.427880383463831,48.03751296232505,75.9369827306462,Yes,High School,No
21.85119035458778,89.24345332163885,73.95326217932177,Yes,Master,Yes
16.71274995304163,120.48619246573705,89.26143690922176,Yes,Bachelor,Yes
5.034089770304096,52.73651990814379,33.604118941971876,Yes,High School,No
16.385447406809455,83.79412335220792,34.19605194706491,No,High School,No
18.082539037830696,96.76035644406782,62.56182741984776,Yes,Bachelor,No
7.929140510390936,88.51774412386072,86.45950281315564,Yes,Bachelor,Yes
16.229800847564224,80.38295554831504,46.51527952591606,Yes,Bachelor,No
15.465669747567999,67.1702618191138,24.88551490459364,No,Bachelor,No
5.856237617355015,89.75744569742147,78.56769109328813,No,Bachelor,No
-17.862298882786266,116.08696219573486,73.65485835554071,Yes,Master,Yes
19.486276210945874,76.18192416545402,53.64687389800855,Yes,Bachelor,No
23.664409945402216,94.39515884296364,55.21690598918605,Yes,High School,Yes
23.430416416279222,54.134540842576726,55.45384420547988,Yes,Master,No
3.9786450563432716,60.871272463639826,71.6580297621091,Yes,High School,No
7.497399680679018,89.44812555760754,60.605270857254894,No,Bachelor,No
19.120282137669278,109.6823205707193,77.4109587846328,Yes,Master,Yes
19.11028760729767,87.1122669757132,27.180600056434137,No,Bachelor,No
19.120381490448384,73.7388393895369,57.14722202308301,Yes,Bachelor,No
45.821851925237766,79.98582810846708,53.10919058633425,No,High School,Yes
-19.567124085545338,84.99184532060565,66.15488982441262,No,High School,No
24.08452512144479,92.09030652710733,61.92928362264792,No,High School,Yes
22.63201410794562,97.64666124646818,81.9676566984365,Yes,Bachelor,Yes
20.211130010446382,70.9581933433384,42.109948425099134,Yes,Bachelor,No
12.477846042877236,70.59915704480997,70.68237214496128,No,Bachelor,No
21.07175376394614,85.31756459304097,78.37504634817559,No,High School,Yes
8.817398283699426,71.2656052791881,97.84971154842933,No,High School,Yes
13.105451146079929,78.67734770748355,62.77351043359787,No,Bachelor,No
11.117091617367173,121.99443578333032,74.86687906528776,No,High School,Yes
15.65499311509058,75.05948598508007,42.94205811156453,Yes,Bachelor,No
-33.51726853338807,72.83319695957556,34.120656935304645,No,Bachelor,Yes
0.06187845926601554,67.04916388729681,82.6716156367255,Yes,Bachelor,No
20.490081522996107,94.88383942999873,69.91659559527893,Yes,High School,Yes
2.098273030482787,76.37551653563794,87.67769034697633,No,Master,No
11.224545073684531,67.01253923357149,49.39895666545377,Yes,High School,No
23.711604775738927,136.42608064546025,77.79853209293128,No,Master,Yes
15.514240152763701,108.39206009027274,98.0322676081578,Yes,High School,Yes
6.378041776565551,67.9915286852259,76.29558412535899,No,High School,No
9.277570325920255,42.66920097278768,74.14872258386573,No,Master,No
20.436781991477407,100.15027379673845,70.12834121236524,No,High School,Yes
-9.157066946262907,66.30740348479992,46.43677814311132,Yes,Bachelor,No
16.7316687166558,95.81251198325538,90.33359403565522,No,Master,Yes
15.36457471923051,40.59792364576329,60.83713540292401,No,Master,No
9.787197219153462,97.85194676598618,77.56724884574525,No,Master,Yes
32.1515527146026,55.776561414384375,46.554485401431194,Yes,High School,Yes
20.07135217854409,94.61528238133049,52.308105032383295,No,Bachelor,Yes
-1.2011406932608573,80.28546135672869,91.52631098833353,No,High School,No
16.491634518155422,60.921211612067104,64.79046566563235,No,High School,No
9.705708281852896,71.85927374146439,91.79913214063816,No,Master,No
21.819466678369793,93.72636913913402,68.82654011412224,No,High School,Yes
-8.659834092538395,112.11788906230468,42.371533405632135,Yes,Bachelor,No
14.082108468264808,91.68825960944969,83.3810139959758,Yes,Bachelor,Yes
19.039898231843658,119.52881169030971,61.15161523366588,Yes,Bachelor,Yes
21.92604155336097,48.71516776577897,80.48033220275565,No,Master,Yes
5.39762874355379,112.34425149937248,70.37816301310123,No,High School,No
12.323990113272412,82.08711875046426,46.85322658085694,Yes,Bachelor,No
11.200437510712351,62.02431903353744,72.46442148055854,No,Master,No
9.773366139410305,53.393727485220204,100.0,No,High School,No
29.123633922248775,76.21759218445933,77.39479687771689,No,High School,Yes
18.239853687687646,98.4330022384892,69.13723370491806,Yes,Bachelor,Yes
-4.9129283653196385,77.44901759244931,86.13015102935347,Yes,High School,No
22.34289557643821,110.22309860494695,73.16002697804666,Yes,High School,Yes
31.977249576101066,50.97648619896882,73.14301345394192,Yes,Master,Yes
23.259722084409177,79.7582210430789,53.62562241761346,Yes,Bachelor,Yes
2.8450402723678927,54.952131111737614,73.50772038684397,Yes,Master,No
11.12612741706999,117.27263765249936,85.53165124625417,No,Master,Yes
25.13528919349298,97.737747801946,57.45906771849963,Yes,Bachelor,Yes
9.338644275049754,71.58476412637893,91.36743731870422,No,High School,No
18.550555425169826,27.91572286745732,68.6244096378231,Yes,High School,No
21.197072427434694,83.97896293592989,56.68345732692189,Yes,High School,Yes
-7.584556227375336,88.73477103467019,84.96448115380366,Yes,Master,Yes
14.5237971515056,88.08589509923395,65.69808646392596,Yes,High School,Yes
-10.93013872055258,104.71564383644308,81.39272331229162,No,High School,Yes
6.804898869325681,58.578926407019026,65.62362051612195,Yes,Bachelor,No
12.979454788854717,93.60432210900899,69.10260784705144,No,High School,Yes
5.017734544281204,103.8501502495595,77.40340306501437,No,High School,No
28.059290431453082,44.42824831986967,74.36345586385009,No,Bachelor,Yes
3.5588689763149386,86.39303651837955,40.067023293223926,No,High School,No
11.47964410642413,69.91640337984657,53.181343898584124,No,High School,No
16.04592461828873,78.36954653796708,83.94114977186223,Yes,High School,Yes
-26.530186312528926,116.95352967076673,68.01795116647679,No,Bachelor,Yes
3.513102790564485,70.25542871772896,62.144030458428674,Yes,Bachelor,No
24.305310017239677,66.48583841676776,49.621389771137885,Yes,High School,No
15.081864488156697,80.6830483497605,53.803955180862275,No,Bachelor,No
7.1479307916163926,58.25508122274395,39.67302040057079,No,High School,No
18.696827794106166,58.28349742229629,68.480789219477,No,Master,No
16.59247756458776,93.58746565913006,61.0234362912843,Yes,High School,Yes
10.198264982729643,57.02411929682688,55.50118163522027,No,Bachelor,No
15.558416679920152,93.32625001818424,68.9781486224807,Yes,Master,Yes
11.917491225105918,89.25182585707903,75.45955946279108,Yes,Master,Yes
-15.908138762009985,45.48386542418807,100.0,Yes,High School,No
20.29704539616837,66.4487069532869,47.321748706551794,No,High School,No
27.688134529162816,103.88218806094744,87.39071564950783,Yes,Bachelor,Yes
5.097476009385208,60.37668937720637,84.59652341522607,No,High School,No
32.06426699725013,70.71191475381225,58.31360890934949,No,Master,Yes
-0.6167023961800151,119.24121786503792,73.04853931879046,No,Bachelor,No
13.785719239715334,95.66781018565192,63.13550125993577,No,Bachelor,Yes
19.706537651876612,74.96922227911008,,No,High School,Yes
17.24793494188026,68.04979610616716,92.63696520106825,No,Bachelor,Yes
10.01840384143525,108.44739723397015,79.0840934894697,No,Bachelor,Yes
-13.335021997141798,114.77799327595159,77.62912559850163,Yes,Master,Yes
11.055992522729337,99.57716101563591,63.54536020068036,No,High School,Yes
10.285081944446308,81.70636285130048,47.73915002613497,No,High School,No
21.796816776168196,63.834685567181474,66.87297684189389,Yes,High School,Yes
17.85612388772038,63.39111186886869,88.09912232295872,Yes,High School,Yes
9.456723237914765,90.45028210531515,47.09248215115529,No,Bachelor,No
22.196799003466005,88.36796441777368,54.173659477349574,Yes,Master,Yes
17.458396167012875,108.03197185892859,71.89401604351102,No,High School,Yes
21.50289695071168,93.00900185072278,55.23017822729106,Yes,Master,Yes
20.037030735388896,49.93839396480364,58.112148293271815,No,High School,No
-8.368039912623422,131.0389523544584,63.64602127407734,Yes,High School,No
10.518551678424243,60.03878745371174,49.51573893714776,No,High School,No
20.978348840986094,72.32057456095296,55.38817230675448,No,High School,No
19.88296212346772,85.00400412503389,80.55141875180963,No,Master,Yes
14.832787248286815,119.9133497956793,50.38945326653554,No,High School,Yes
15.938619066470256,142.19837112010723,46.03191798257744,Yes,Bachelor,No
25.2213191663074,92.13446118272365,60.54962530699159,Yes,High School,Yes
10.267428889313361,76.33606762559225,80.97933253764768,Yes,Master,No
19.3767790493603,90.69011296961101,67.04617288004665,No,High School,Yes
13.382458780528847,97.75310851747672,63.03128382826573,Yes,High School,Yes
-13.258550374182239,73.58664748885617,70.6653819627341,Yes,High School,No
23.79021481589752,115.90422711824644,43.81438850710522,No,High School,Yes
21.603330791904238,84.60141518382804,77.42058480662548,No,High School,Yes
21.50807708800511,89.95486178182789,75.75152547105466,No,Master,Yes
25.443830457234633,93.31848504108923,63.86037288856418,Yes,Bachelor,Yes
15.168030733062073,118.43173221228912,85.08886767694625,Yes,Bachelor,Yes
20.45562377035971,96.77881000939225,53.087558515704416,No,Bachelor,Yes
12.517865947252352,67.65493626906154,86.91863489880353,Yes,High School,No
17.593330819907536,68.83396492107939,72.31740498392877,No,High School,Yes
13.958855565058524,57.996915340566105,64.9517111518274,No,Master,No
-15.775967719941745,88.79002461240452,69.70189546947533,No,Master,Yes
19.761256203495307,95.57873007024229,68.39102851283587,Yes,Master,Yes
8.454234534132219,89.15545732303772,88.30424344626576,No,Master,Yes
31.739098205483682,113.48984866695075,53.8498130879348,No,High School,Yes
6.951860948002384,79.88807962341907,58.56221141280103,No,High School,No
5.286491097698143,93.37483311185025,85.5445433810872,Yes,High School,Yes
24.26488698800054,58.16598247721372,61.06697597224211,Yes,High School,No
21.333301551703485,72.25800595051199,83.50799615997387,Yes,High School,Yes
19.99295853641724,93.91075515131556,95.49153974513064,No,High School,Yes
20.02676407411424,96.98204221486287,63.973074595875495,No,Bachelor,Yes
-14.902025817224683,104.12066104671635,80.22043489862958,Yes,Master,Yes
7.821965028113348,78.56801496283866,52.69461577990212,No,Bachelor,No
15.60643646554981,49.64252506638381,81.32099947101713,Yes,Master,No
9.582706307903106,72.85941598386782,72.9913597898015,No,High School,No
22.80095786734201,97.80766327039572,77.09557423240322,No,High School,Yes
13.823540947982892,91.50410032213132,60.31641891946907,Yes,Bachelor,No
8.396022425659908,90.0133144276242,45.08374876649241,Yes,High School,No
12.428913266776053,80.9954737436192,77.54878097124256,Yes,High School,Yes
18.303451634204993,80.14126317256353,39.04895271280819,No,High School,No
10.490203577568202,66.79357721053105,65.23974261636198,No,High School,No
-8.42223683546855,93.9765684040507,84.11772799629955,No,Bachelor,Yes
16.9494976919353,88.4194588877878,72.87846603809554,Yes,High School,Yes
16.959732568869782,89.84037695985599,99.22513967184719,No,Bachelor,Yes
10.944454597030962,69.47930314664839,85.3766372887266,Yes,Bachelor,No
11.231693555053418,36.93314160257511,60.191524175116356,No,High School,No
16.85639949886109,131.94305423507393,70.40970069777158,Yes,High School,Yes
3.415325268021407,70.42325087983191,69.28943946183347,No,High School,No
3.740289804987558,62.74448471913759,46.26734854980809,No,High School,No
9.252446229980512,93.86957823827987,55.8940162527347,No,Bachelor,No
13.292422786305222,72.1597472016174,61.588586395302094,No,Bachelor,No
-17.487260524784038,101.19872768093244,39.456692457160955,Yes,Bachelor,No
26.802849735596418,92.34011899153396,70.71240202377464,Yes,High School,Yes
21.861276985616154,93.67138646400954,66.2639223302044,No,Bachelor,Yes
13.720491760292584,52.68088577598931,44.906591480326384,Yes,Bachelor,No
14.84787033677849,104.23887970772802,76.06319297915998,Yes,High School,Yes
6.979765082897529,85.22501062467713,80.7380911703644,No,Bachelor,No
14.85189491206088,72.61445721507593,73.40551718297333,No,High School,No
12.690730888638893,82.86776934684502,65.13897737186545,Yes,Bachelor,No
17.581748482704715,44.475295342033604,78.87163227627782,Yes,Bachelor,No
8.382152451581415,88.17305622961342,80.20330540715037,Yes,High School,No
-19.15477211392938,89.41256983635857,74.61105354579533,No,Bachelor,No
27.26191130402062,52.946594283129315,57.630816243478584,No,High School,No
14.129918812345139,49.55281627564218,74.1490114826677,No,High School,No
18.21369377679153,102.2537674997985,87.93220976238219,No,Master,Yes
20.5211519336889,67.41473212614423,61.05056412082405,Yes,Master,No
11.79023622491331,110.67455419832999,100.0,No,High School,Yes
16.792739854483333,69.28397073895404,62.115535990219236,No,High School,No
15.100739206254358,45.852840848141064,70.48610520010205,Yes,High School,No
15.781408788390653,57.66951120102682,59.91271605990496,No,High School,No
8.815921729156269,104.71623240013878,73.3490625388039,No,Master,Yes
-15.196081394071541,76.88203644126665,43.866674610470874,No,Master,No
18.9839863299636,69.03425407018798,61.80937301774918,No,Bachelor,No
26.609148862360335,83.20036451705576,53.61818199477149,Yes,High School,Yes
22.674166608681656,90.0356547233509,72.03007521838437,Yes,Bachelor,Yes
32.225459660092454,102.34797631804922,84.91671063263361,No,High School,Yes
8.861219496895604,138.9699845978585,79.69009280671827,Yes,Master,Yes
21.978565093765425,72.80462708421828,34.425109587116616,No,Master,No
16.466736045906814,53.479046278359235,100.0,No,Bachelor,Yes
32.51842346574138,71.73069677753448,74.42919910931303,No,High School,Yes
8.533613717158788,85.20561013165772,58.35251289260499,No,High School,No
-8.28222526255379,60.72482147578778,72.3569187848641,No,High School,No
10.204858836447823,60.85698170209914,72.64284733754039,No,Master,No
-1.991165794478455,86.87575763099771,59.99726924572654,No,High School,No
10.793959826553913,79.02695296859098,72.96875001013113,Yes,High School,No
8.926938707570416,80.65593990823173,60.88791568569539,Yes,High School,No
16.20315029180966,64.83009330599862,63.934570109649655,Yes,Master,No
17.734047806217276,75.39198571588466,59.705812963673736,Yes,High School,No
30.00936671372709,61.51533711463391,48.50993065390521,Yes,Master,Yes
22.6033907054884,97.80396822249574,72.18754705323076,Yes,Master,Yes
10.384770754700774,100.70498669447505,,No,Master,Yes
-7.812682629213136,73.07624275523813,77.72325394114559,No,High School,No
18.935353372052045,61.4097827961518,82.29887878952852,Yes,High School,Yes
4.438134343834863,50.06941489819842,74.86510315022302,No,High School,No
29.65167012683483,66.99952131186204,62.00911752674645,No,High School,Yes
24.435520965770294,78.33124060419279,82.59495796646783,Yes,High School,Yes
11.246594783162362,51.007095606029395,49.63723690237097,No,Bachelor,No
1.29492376727298,61.56280373749374,56.4899292623128,No,High School,No
25.830978993323303,59.92085255837003,55.53699892865133,Yes,Master,No
14.083681237979057,84.14534658797888,86.20084088708965,No,High School,Yes
24.902530495787694,81.386886740725,,Yes,Bachelor,Yes
-2.244578729645063,65.56524893325494,77.30957855567492,No,Bachelor,No
10.204999816369817,83.53641744278796,86.07894797817696,Yes,Bachelor,Yes
15.041949597745464,69.06639830825469,56.810758263820176,No,Master,No
15.375844750117936,74.56689779347893,75.22892679791471,No,Bachelor,Yes
11.399476228166051,113.46904180597073,68.12238357425254,No,Master,Yes
19.98279945877999,136.80922103580696,82.70323155827371,Yes,High School,Yes
6.459036564939245,54.00837526144805,68.27163651171703,No,Bachelor,No
13.860964119829653,96.5946483575835,64.22585667384878,No,High School,Yes
15.96236505369519,96.22793108983184,78.11362777841485,No,High School,Yes
19.11551067246999,57.034734224947634,83.1425375078685,No,High School,Yes
-20.692919024711117,96.37555287509721,59.97482207729797,No,High School,Yes
6.002863265297046,110.75863836825106,,No,High School,No
